"PROKKA","GENE","ko","A","B","C","D","D_shorthand"
"PROKKA_00071___352359_1","group_3090","K00566","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","tRNA-uridine 2-sulfurtransferase","mnmA, trmU"
"PROKKA_00071_1","folE","K01495","Metabolism"," Metabolism of cofactors and vitamins","  00790 Folate biosynthesis [PATH:ko00790]","GTP cyclohydrolase I","GCH1, folE"
"PROKKA_00072_1","fliI","K02412","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellum-specific ATP synthase","fliI"
"PROKKA_00073___23769_1","group_8477","K01808","Metabolism"," Energy metabolism","  00710 Carbon fixation in photosynthetic organisms [PATH:ko00710]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00073___23769_1","group_8477","K01808","Metabolism"," Carbohydrate metabolism","  00030 Pentose phosphate pathway [PATH:ko00030]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00073___23769_1","group_8477","K01808","Metabolism"," Carbohydrate metabolism","  00051 Fructose and mannose metabolism [PATH:ko00051]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00073___23769_1","group_8477","K01808","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00073___23769_1","group_8477","K01808","Metabolism"," Overview","  01200 Carbon metabolism [PATH:ko01200]","ribose 5-phosphate isomerase B","rpiB"
"PROKKA_00073___375683_1","group_27405","K03154","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","sulfur carrier protein","thiS"
"PROKKA_00074___147_1","lepB","K03100","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","signal peptidase I","lepB, TPP"
"PROKKA_00074___147_1","lepB","K03100","Genetic Information Processing"," Folding, sorting and degradation","  03060 Protein export [PATH:ko03060]","signal peptidase I","lepB, TPP"
"PROKKA_00074___19921_1","group_27817","K02871","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L13","RP-L13, MRPL13, rplM"
"PROKKA_00075___19923_1","group_14520","K02996","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","small subunit ribosomal protein S9","RP-S9, MRPS9, rpsI"
"PROKKA_00076___16263_1","group_4838","K00946","Metabolism"," Metabolism of cofactors and vitamins","  00730 Thiamine metabolism [PATH:ko00730]","thiamine-monophosphate kinase","thiL"
"PROKKA_00076_1","lcfB","K01897","Metabolism"," Overview","  01212 Fatty acid metabolism [PATH:ko01212]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Cellular Processes"," Transport and catabolism","  04146 Peroxisome [PATH:ko04146]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Metabolism"," Lipid metabolism","  00061 Fatty acid biosynthesis [PATH:ko00061]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Organismal Systems"," Endocrine system","  04920 Adipocytokine signaling pathway [PATH:ko04920]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Organismal Systems"," Endocrine system","  03320 PPAR signaling pathway [PATH:ko03320]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Cellular Processes"," Cell growth and death","  04216 Ferroptosis [PATH:ko04216]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Metabolism"," Lipid metabolism","  00071 Fatty acid degradation [PATH:ko00071]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00076_1","lcfB","K01897","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","long-chain acyl-CoA synthetase","ACSL, fadD"
"PROKKA_00077___153_1","hemL","K01845","Metabolism"," Metabolism of cofactors and vitamins","  00860 Porphyrin and chlorophyll metabolism [PATH:ko00860]","glutamate-1-semialdehyde 2,1-aminomutase","hemL"
"PROKKA_00078_1","nfo","K01151","Genetic Information Processing"," Replication and repair","  03410 Base excision repair [PATH:ko03410]","deoxyribonuclease IV","nfo"
"PROKKA_00081___151854_1","group_23231","K20810","Metabolism"," Metabolism of cofactors and vitamins","  00130 Ubiquinone and other terpenoid-quinone biosynthesis [PATH:ko00130]","aminodeoxyfutalosine deaminase","mqnX"
"PROKKA_00082___16275_1","group_12717","K02407","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar hook-associated protein 2","fliD"
"PROKKA_00083___165_1","group_16190","K03412","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","two-component system, chemotaxis family, response regulator CheB","cheB"
"PROKKA_00083___165_1","group_16190","K03412","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","two-component system, chemotaxis family, response regulator CheB","cheB"
"PROKKA_00084___167_1","group_14070","K00575","Cellular Processes"," Cell motility","  02030 Bacterial chemotaxis [PATH:ko02030]","chemotaxis protein methyltransferase CheR","cheR"
"PROKKA_00084___167_1","group_14070","K00575","Environmental Information Processing"," Signal transduction","  02020 Two-component system [PATH:ko02020]","chemotaxis protein methyltransferase CheR","cheR"
"PROKKA_00086___51599_1","group_18131","K02909","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L31","RP-L31, rpmE"
"PROKKA_00090___16291_1","group_16761","K02396","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar hook-associated protein 1 FlgK","flgK"
"PROKKA_00092___16295_1","group_10771","K04565","Organismal Systems"," Aging","  04213 Longevity regulating pathway - multiple species [PATH:ko04213]","superoxide dismutase, Cu-Zn family","SOD1"
"PROKKA_00092___16295_1","group_10771","K04565","Human Diseases"," Neurodegenerative diseases","  05014 Amyotrophic lateral sclerosis (ALS) [PATH:ko05014]","superoxide dismutase, Cu-Zn family","SOD1"
"PROKKA_00092___16295_1","group_10771","K04565","Human Diseases"," Neurodegenerative diseases","  05020 Prion diseases [PATH:ko05020]","superoxide dismutase, Cu-Zn family","SOD1"
"PROKKA_00092___16295_1","group_10771","K04565","Cellular Processes"," Transport and catabolism","  04146 Peroxisome [PATH:ko04146]","superoxide dismutase, Cu-Zn family","SOD1"
"PROKKA_00092___16295_1","group_10771","K04565","Human Diseases"," Neurodegenerative diseases","  05016 Huntington's disease [PATH:ko05016]","superoxide dismutase, Cu-Zn family","SOD1"
"PROKKA_00092_1","flgE_1","K02390","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar hook protein FlgE","flgE"
"PROKKA_00093___19959_1","group_17071","K03636","Genetic Information Processing"," Folding, sorting and degradation","  04122 Sulfur relay system [PATH:ko04122]","sulfur-carrier protein","moaD, cysO"
"PROKKA_00093_1","flgD","K02389","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar basal-body rod modification protein FlgD","flgD"
"PROKKA_00095___189_1","group_5255","K02013","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system ATP-binding protein","ABC.FEV.A"
"PROKKA_00096___191_1","group_4348","K02015","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system permease protein","ABC.FEV.P"
"PROKKA_00097___193_1","group_3673","K02016","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system substrate-binding protein","ABC.FEV.S"
"PROKKA_00098___195_1","group_7412","K04561","Metabolism"," Energy metabolism","  00910 Nitrogen metabolism [PATH:ko00910]","nitric oxide reductase subunit B","norB"
"PROKKA_00099___194310_1","group_23927","K11752","Metabolism"," Metabolism of cofactors and vitamins","  00740 Riboflavin metabolism [PATH:ko00740]","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD"
"PROKKA_00099___194310_1","group_23927","K11752","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase","ribD"
"PROKKA_00099___23821_1","group_14598","K02016","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system substrate-binding protein","ABC.FEV.S"
"PROKKA_00102___19977_1","group_13994","K01939","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","adenylosuccinate synthase","purA, ADSS"
"PROKKA_00102___19977_1","group_13994","K01939","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","adenylosuccinate synthase","purA, ADSS"
"PROKKA_00103___16317_1","group_9673","K01626","Cellular Processes"," Cellular community - prokaryotes","  02024 Quorum sensing [PATH:ko02024]","3-deoxy-7-phosphoheptulonate synthase","E2.5.1.54, aroF, aroG, aroH"
"PROKKA_00103___16317_1","group_9673","K01626","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","3-deoxy-7-phosphoheptulonate synthase","E2.5.1.54, aroF, aroG, aroH"
"PROKKA_00103___16317_1","group_9673","K01626","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","3-deoxy-7-phosphoheptulonate synthase","E2.5.1.54, aroF, aroG, aroH"
"PROKKA_00104___16319_1","trxB_1","K00384","Metabolism"," Metabolism of other amino acids","  00450 Selenocompound metabolism [PATH:ko00450]","thioredoxin reductase (NADPH)","trxB"
"PROKKA_00105_1","purF","K00764","Metabolism"," Nucleotide metabolism","  00230 Purine metabolism [PATH:ko00230]","amidophosphoribosyltransferase","purF, PPAT"
"PROKKA_00105_1","purF","K00764","Metabolism"," Amino acid metabolism","  00250 Alanine, aspartate and glutamate metabolism [PATH:ko00250]","amidophosphoribosyltransferase","purF, PPAT"
"PROKKA_00106___178665_1","group_23591","K01775","Metabolism"," Metabolism of other amino acids","  00473 D-Alanine metabolism [PATH:ko00473]","alanine racemase","alr"
"PROKKA_00106___178665_1","group_23591","K01775","Human Diseases"," Drug resistance","  01502 Vancomycin resistance [PATH:ko01502]","alanine racemase","alr"
"PROKKA_00106_1","dapB","K00215","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","4-hydroxy-tetrahydrodipicolinate reductase","dapB"
"PROKKA_00106_1","dapB","K00215","Metabolism"," Biosynthesis of other secondary metabolites","  00261 Monobactam biosynthesis [PATH:ko00261]","4-hydroxy-tetrahydrodipicolinate reductase","dapB"
"PROKKA_00106_1","dapB","K00215","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","4-hydroxy-tetrahydrodipicolinate reductase","dapB"
"PROKKA_00107___197948_1","group_24040","K02016","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system substrate-binding protein","ABC.FEV.S"
"PROKKA_00107___213_1","lon","K01338","Cellular Processes"," Cell growth and death","  04112 Cell cycle - Caulobacter [PATH:ko04112]","ATP-dependent Lon protease","lon"
"PROKKA_00107_1","trxB","K00384","Metabolism"," Metabolism of other amino acids","  00450 Selenocompound metabolism [PATH:ko00450]","thioredoxin reductase (NADPH)","trxB"
"PROKKA_00108___197950_1","group_24041","K02016","Environmental Information Processing"," Membrane transport","  02010 ABC transporters [PATH:ko02010]","iron complex transport system substrate-binding protein","ABC.FEV.S"
"PROKKA_00109___16329_1","group_7737","K01609","Metabolism"," Amino acid metabolism","  00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]","indole-3-glycerol phosphate synthase","trpC"
"PROKKA_00109___16329_1","group_7737","K01609","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","indole-3-glycerol phosphate synthase","trpC"
"PROKKA_00109_1","trxA","K03671","Human Diseases"," Cardiovascular diseases","  05418 Fluid shear stress and atherosclerosis [PATH:ko05418]","thioredoxin 1","trxA"
"PROKKA_00109_1","trxA","K03671","Organismal Systems"," Immune system","  04621 NOD-like receptor signaling pathway [PATH:ko04621]","thioredoxin 1","trxA"
"PROKKA_00110___138326_1","group_20298","K02411","Cellular Processes"," Cell motility","  02040 Flagellar assembly [PATH:ko02040]","flagellar assembly protein FliH","fliH"
"PROKKA_00110___31768_1","group_14675","K00981","Environmental Information Processing"," Signal transduction","  04070 Phosphatidylinositol signaling system [PATH:ko04070]","phosphatidate cytidylyltransferase","E2.7.7.41, CDS1, CDS2, cdsA"
"PROKKA_00110___31768_1","group_14675","K00981","Metabolism"," Lipid metabolism","  00564 Glycerophospholipid metabolism [PATH:ko00564]","phosphatidate cytidylyltransferase","E2.7.7.41, CDS1, CDS2, cdsA"
"PROKKA_00110___47911_1","group_14097","K02914","Genetic Information Processing"," Translation","  03010 Ribosome [PATH:ko03010]","large subunit ribosomal protein L34","RP-L34, MRPL34, rpmH"
"PROKKA_00111_1","group_11648","K00003","Metabolism"," Amino acid metabolism","  00260 Glycine, serine and threonine metabolism [PATH:ko00260]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_00111_1","group_11648","K00003","Metabolism"," Amino acid metabolism","  00270 Cysteine and methionine metabolism [PATH:ko00270]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_00111_1","group_11648","K00003","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_00111_1","group_11648","K00003","Metabolism"," Amino acid metabolism","  00300 Lysine biosynthesis [PATH:ko00300]","homoserine dehydrogenase","E1.1.1.3"
"PROKKA_00112___16335_1","group_10138","K01652","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","acetolactate synthase I/II/III large subunit","E2.2.1.6L, ilvB, ilvG, ilvI"
"PROKKA_00112___16335_1","group_10138","K01652","Metabolism"," Amino acid metabolism","  00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]","acetolactate synthase I/II/III large subunit","E2.2.1.6L, ilvB, ilvG, ilvI"
"PROKKA_00112___16335_1","group_10138","K01652","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","acetolactate synthase I/II/III large subunit","E2.2.1.6L, ilvB, ilvG, ilvI"
"PROKKA_00112___16335_1","group_10138","K01652","Metabolism"," Carbohydrate metabolism","  00660 C5-Branched dibasic acid metabolism [PATH:ko00660]","acetolactate synthase I/II/III large subunit","E2.2.1.6L, ilvB, ilvG, ilvI"
"PROKKA_00112___16335_1","group_10138","K01652","Metabolism"," Overview","  01230 Biosynthesis of amino acids [PATH:ko01230]","acetolactate synthase I/II/III large subunit","E2.2.1.6L, ilvB, ilvG, ilvI"
"PROKKA_00112___16335_1","group_10138","K01652","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","acetolactate synthase I/II/III large subunit","E2.2.1.6L, ilvB, ilvG, ilvI"
"PROKKA_00113___16337_1","group_14851","K01653","Metabolism"," Metabolism of cofactors and vitamins","  00770 Pantothenate and CoA biosynthesis [PATH:ko00770]","acetolactate synthase I/III small subunit","E2.2.1.6S, ilvH, ilvN"
"PROKKA_00113___16337_1","group_14851","K01653","Metabolism"," Carbohydrate metabolism","  00660 C5-Branched dibasic acid metabolism [PATH:ko00660]","acetolactate synthase I/III small subunit","E2.2.1.6S, ilvH, ilvN"
"PROKKA_00113___16337_1","group_14851","K01653","Metabolism"," Overview","  01210 2-Oxocarboxylic acid metabolism [PATH:ko01210]","acetolactate synthase I/III small subunit","E2.2.1.6S, ilvH, ilvN"
"PROKKA_00113___16337_1","group_14851","K01653","Metabolism"," Amino acid metabolism","  00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]","acetolactate synthase I/III small subunit","E2.2.1.6S, ilvH, ilvN"
"PROKKA_00113___16337_1","group_14851","K01653","Metabolism"," Carbohydrate metabolism","  00650 Butanoate metabolism [PATH:ko00650]","acetolactate synthase I/III small subunit","E2.2.1.6S, ilvH, ilvN"
